Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C42, C45, C50, C53, C65, C68",0402,8,1uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C26, C27, C28, C29, C30, C31, C38, C40, C43, C44, C48, C51, C52, C55, C63, C66, C67, C70, C79, C8, C84, C97, C98",0402,39,0.1uF,
"C100, C108, C109, C110, C113, C33, C34, C35, C36, C58, C59, C60, C61, C73, C74, C75, C76, C80, C81, C85, C86, C94, C99",0402,23,0.1uF,
"C101, C102, C39, C47, C56, C57, C62, C71, C72, C77, C78, C82, C83, C87, C88",0805,15,47uF,
"C103, C89",0805,2,4.7uF,
"C104, C107, C25, C32",0402,4,10pF,
"C105, C106, C111, C112, C96",0402,5,1uF,
C3,0402,1,NC,
"C37, C41, C46, C49, C54, C64, C69",0402,7,2.2uF,
"C5, C7",0603,2,22uF,
"C6, C9",0603,2,10uF,
C90,0805,1,10uF,
"C91, C93",0603,2,4.7u,
C92,0402,1,1n,
C95,0603,1,10uf,
"D1, D2, D3",SOT-23,3,BAV99,
J1,GCT_USB4155-03-C_REVA,1,USB4155-03-C_REVA,
"J10, J8",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
J11,CUI_SD-2-A,1,SD-2-A,
J12,CUI_MSD-4-A,1,MSD-4-A,
"J2, J4, J5",AMPHENOL_12401598E4_2A,3,12401598E4_2A,
J3,GCT_USB4155-03-C_REVA,1,USB4155-03-C_REVA,
"J6, J7",MOLEX_0484050003,2,0484050003,
J9,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03,
L1,1210,1,1.5uH,
L2,1206,1,15uH,
L3,1206,1,22uH,
"LED1, LED11, LED13, LED14, LED15, LED16, LED17, LED18, LED2, LED7",0603,10,LED_Green,C12065
"LED10, LED12, LED6",0603,3,LED_Yellow,
"LED3, LED5",0606 Bi colour LED,2,B2612UDNB20D000312U1930,
"LED4, LED9",0603,2,LED_Red,C2286
LED8,0603,1,LED_Blue,C2288
PS1,CONV_RFM-0505S side,1,RFM-0505S,
"R1, R100, R11, R116, R119, R12, R120, R121, R13, R36, R37, R38, R41, R5, R55, R61, R75, R81, R84, R89, R94, R99",0402,22,1K,C21190
"R10, R2, R21, R9",0402,4,100K,
"R101, R102, R103, R104",0402,4,1K,
"R105, R106, R107, R14, R15, R17, R19, R22, R23, R25, R6, R7, R8, R98",0402,14,10K,
"R108, R109",0402,2,20K,
R110,0402,1,120R,
"R111, R112, R113, R114, R35, R46, R48, R49, R66, R68, R69, R82, R87, R92",0402,14,0R,C21190
"R115, R83, R88, R93",0402,4,124R,C21190
"R117, R58, R76, R85, R90, R95",0402,6,2.2K,C21190
R118,0402,1,680R,C21190
R16,0402,1,10R,
"R18, R20",0402,2,200K,
R24,0402,1,10K,
R26,0402,1,12K,
R27,0402,1,200K,
"R28, R52, R72",0402,3,90.9K,C21190
"R29, R47, R67",0402,3,10K,C21190
R3,0402,1,65.3K,
R30,0402,1,24K,C21190
R31,0402,1,40.2K,C21190
R32,0402,1,3.83K,C21190
"R33, R34, R39, R40, R43, R44, R50, R51, R53, R54, R56, R57, R59, R60, R63, R64, R70, R71, R73, R74, R77, R78, R79, R80",0402,24,100K,C21190
R4,0402,1,39.2K,
"R42, R62",0402,2,6.65K,C21190
R45,1210,1,0R,C21190
"R86, R91",0402,2,330R,C21190
R96,0402,1,47.5k,
R97,0402,1,22.1k,
SW1,Tactile 3x4x2mm TS-A010,1,SW_Push,
SW2,OS102011MA1QN1_CNK,1,OS102011MA1QN1,
SW3,CONN8_1MA2QP1_CNK,1,OS203011MA2QP1,
"TP1, TP2, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,8,TestPoint,
TP3,TestPoint_Pad_D1.5mm,1,TestPoint,
U1,SOT95P280X145-5N,1,TLV75533PDBVR,
"U10, U8",QFN28_MK_MCH,2,UPD350A/Q8X,
"U11, U9",MIC94041YFL,2,MIC94041YFL-TR,
"U12, U13, U14, U20",MLF-6_ML_MCH,4,MIC2009YML-TR,
U15,SON50P300X300X80-9N-D,1,ADM7171ACPZ-3.3-R7,
U16,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U17,RW-16_ADI,1,ADUM341E0BRWZ-RL,
U18,SOIC127P600X175-8N,1,SP485REN-L_TR,
U19,TSSOP16_MXL,1,SP3232EEY-L,
U2,SON50P200X200X80-9N-D,1,TLV62084DSGR,
U21,SON127P600X500X80-9N-D,1,W25Q80DVZPIG,
U22,HQFN-32_L5.0-W5.0-P0.50-BL-EP3.0,1,GL3224-OIY04,
"U3, U5",DCK5,2,SN74LVC1G14DCKR,
U4,SOIC127P600X175-8N,1,SST26VF016BT-80E_SN,
U6,QFN40P1200X1200X90-101N-D,1,USB5926CT_KD,
U7,QFN28_MK_MCH,1,UPD350A/Q8X,
"XTAL1, XTAL2",VXM7_MCH,2,25MHz,
