Designator,Mid X,Mid Y,Rotation,Layer
C1,61.430804,-38.258782,180.0,top
C10,48.141461,-39.744513,135.0,top
C100,155.128853,-45.959188,90.0,top
C101,106.143802,-36.316187,90.0,top
C102,109.316802,-36.108187,0.0,top
C103,112.391803,-44.414186,0.0,top
C104,119.645803,-35.753187,90.0,top
C105,121.288803,-38.469186,0.0,top
C106,122.239803,-41.454187,0.0,top
C107,115.310802,-31.718187,180.0,top
C108,118.480802,-38.370187,90.0,top
C109,121.974803,-43.777187,0.0,top
C11,76.074803,-40.181687,90.0,top
C110,103.513803,-44.872186,180.0,top
C111,121.984802,-44.889187,0.0,top
C112,115.727802,-38.392186,90.0,top
C113,113.179802,-45.908187,180.0,top
C12,46.187504,-40.753173,45.0,top
C13,46.111803,-59.044187,315.0,top
C14,52.983766,-53.407221,315.0,top
C15,38.994109,-43.44654,135.0,top
C16,37.516962,-44.923689,135.0,top
C17,49.014518,-43.580186,45.0,top
C18,48.486802,-57.841187,315.0,top
C19,49.900522,-55.284924,315.0,top
C2,59.553804,-38.247783,0.0,top
C20,45.394036,-59.79141,315.0,top
C21,50.614802,-54.637187,315.0,top
C22,36.228802,-55.249186,225.0,top
C23,53.683803,-52.707187,315.0,top
C24,40.376502,-42.064147,135.0,top
C25,31.346603,-50.320391,45.0,top
C26,52.233973,-46.799644,45.0,top
C27,36.824704,-45.615947,135.0,top
C28,41.066638,-41.374013,135.0,top
C29,39.681415,-42.759235,135.0,top
C3,59.336802,-44.013187,270.0,top
C30,33.558802,-48.779186,135.0,top
C31,35.091803,-47.332187,135.0,top
C32,35.523127,-54.496917,225.0,top
C33,35.611803,-33.712187,270.0,top
C34,36.603803,-33.712187,270.0,top
C35,39.895802,-33.712187,270.0,top
C36,40.887802,-33.712187,270.0,top
C37,31.064804,-34.669186,90.0,top
C38,32.493304,-34.219185,180.0,top
C39,28.511804,-36.480187,90.0,top
C4,62.965804,-39.054782,90.0,top
C40,31.425804,-38.656186,0.0,top
C41,24.006804,-37.270186,270.0,top
C42,22.926802,-42.243187,180.0,top
C43,25.390803,-44.591187,270.0,top
C44,22.920804,-39.287187,180.0,top
C45,22.920804,-43.229187,180.0,top
C46,22.921803,-41.261187,180.0,top
C47,25.682802,-49.407062,90.0,top
C48,27.200802,-49.695061,90.0,top
C49,21.101803,-50.197061,270.0,top
C5,72.132803,-39.007187,180.0,top
C50,19.873802,-56.942687,180.0,top
C51,19.873803,-53.029451,180.0,top
C52,19.873802,-55.968063,180.0,top
C53,19.873803,-54.989062,180.0,top
C54,19.873803,-54.007061,180.0,top
C55,28.690302,-58.223061,0.0,top
C56,29.937801,-65.245187,180.0,top
C58,36.044332,-65.058186,90.0,top
C59,37.040803,-65.063186,90.0,top
C6,72.139802,-37.477187,180.0,top
C60,40.220332,-65.047185,90.0,top
C61,41.218803,-65.041187,90.0,top
C62,57.048802,-49.649188,180.0,top
C63,57.379803,-48.127187,180.0,top
C64,58.253514,-54.210506,0.0,top
C65,64.641513,-55.209506,270.0,top
C66,63.642514,-55.209506,270.0,top
C67,60.678513,-55.209506,270.0,top
C68,62.643514,-55.209506,270.0,top
C69,61.661513,-55.209506,270.0,top
C7,68.299803,-41.630187,270.0,top
C70,63.34487,-62.679688,0.0,top
C71,62.222869,-66.252688,0.0,top
C73,51.087803,-65.044186,90.0,top
C74,52.071803,-65.050187,90.0,top
C75,55.615803,-65.049186,90.0,top
C76,56.622803,-65.048187,90.0,top
C77,67.022801,-54.273688,0.0,top
C78,66.302802,-57.010688,270.0,top
C79,80.090802,-60.533187,270.0,top
C8,63.964803,-39.061783,90.0,top
C80,70.523802,-61.182187,270.0,top
C81,68.543803,-61.136187,270.0,top
C82,84.956803,-56.127187,0.0,top
C83,84.236803,-58.870188,270.0,top
C84,101.093803,-61.076187,270.0,top
C85,92.541803,-61.070186,270.0,top
C86,90.525802,-61.033187,270.0,top
C87,123.502803,-34.444186,270.0,top
C88,128.991803,-36.765185,90.0,top
C89,131.098803,-36.782187,90.0,top
C9,69.826803,-41.630187,90.0,top
C90,153.163802,-38.294186,270.0,top
C91,150.068802,-34.234186,90.0,top
C92,154.167803,-32.197187,180.0,top
C93,156.231803,-34.038187,90.0,top
C94,134.592801,-39.796186,0.0,top
C95,134.053803,-38.514186,0.0,top
C96,128.247802,-42.394185,270.0,top
C97,158.706853,-42.170187,0.0,top
C98,160.729853,-42.178187,0.0,top
C99,155.133853,-44.081188,90.0,top
D1,33.503304,-36.435186,0.0,top
D2,27.671301,-60.443187,180.0,top
D3,62.216802,-60.212186,90.0,top
J1,23.542803,-30.748187,180.0,top
J10,172.258803,-46.568186,90.0,top
J11,118.765802,-63.524186,0.0,top
J12,118.765802,-70.733187,0.0,bottom
J2,23.542803,-69.248187,0.0,top
J3,38.292803,-30.748187,180.0,top
J4,38.542802,-69.248187,0.0,top
J5,53.542803,-69.216187,0.0,top
J6,72.165303,-70.741187,0.0,top
J7,94.165303,-70.741187,0.0,top
J8,142.797403,-72.312748,0.0,top
J9,172.242803,-59.750236,90.0,top
L1,71.530803,-44.787187,180.0,top
L2,134.569802,-35.346187,0.0,top
L3,150.816803,-38.839187,90.0,top
LED1,62.887803,-41.498783,90.0,top
LED10,44.594803,-76.292937,90.0,top
LED11,32.314803,-76.292937,90.0,top
LED12,59.554803,-76.292937,90.0,top
LED13,47.570803,-76.292937,90.0,top
LED14,63.304803,-76.292937,90.0,top
LED15,85.358803,-76.292937,90.0,top
LED16,130.284304,-33.241186,0.0,top
LED17,111.056803,-34.217187,180.0,top
LED18,135.228803,-76.389187,90.0,top
LED2,65.972804,-38.892783,180.0,top
LED3,78.198803,-34.790686,180.0,top
LED4,76.440802,-34.846687,270.0,top
LED5,80.084003,-34.777786,180.0,top
LED6,33.944804,-44.791187,0.0,top
LED7,33.950805,-43.192186,0.0,top
LED8,33.950806,-41.589186,0.0,top
LED9,33.950803,-39.994187,0.0,top
PS1,142.740803,-36.294186,0.0,top
R1,63.425803,-43.580187,180.0,top
R10,55.558803,-43.425186,135.0,top
R100,141.529903,-64.800187,90.0,top
R101,157.194802,-53.291186,270.0,top
R102,150.276902,-49.156187,0.0,top
R103,150.294903,-50.482188,0.0,top
R104,157.148802,-62.184187,90.0,top
R105,160.909803,-55.226187,0.0,top
R106,158.985803,-55.217186,180.0,top
R107,150.283903,-45.359186,0.0,top
R108,165.227802,-58.408187,270.0,top
R109,162.106802,-61.710187,0.0,top
R11,78.217802,-37.184688,270.0,top
R110,164.187803,-58.398186,90.0,top
R111,164.547802,-43.015187,180.0,top
R112,164.547802,-45.515187,180.0,top
R113,164.547802,-48.015187,180.0,top
R114,107.750802,-30.645187,180.0,top
R115,110.797803,-31.667187,0.0,top
R117,113.602803,-33.673187,270.0,top
R118,114.617802,-38.392187,90.0,top
R119,135.287803,-73.299187,90.0,top
R12,76.414603,-37.328088,90.0,top
R120,107.008803,-44.921187,0.0,top
R121,102.239802,-42.562187,270.0,top
R13,80.055803,-37.179686,270.0,top
R14,48.314481,-42.851865,45.0,top
R15,47.612323,-42.149708,45.0,top
R16,46.903802,-41.441187,45.0,top
R17,41.753237,-40.659128,135.0,top
R19,42.467415,-39.944949,135.0,top
R2,64.177803,-41.339784,90.0,top
R20,54.141803,-44.845186,135.0,top
R21,41.605635,-59.085806,225.0,top
R22,49.723039,-44.260423,225.0,top
R23,50.425196,-44.96258,225.0,top
R25,40.896223,-58.376394,45.0,top
R26,34.320803,-48.051187,315.0,top
R27,40.190007,-57.670178,45.0,top
R28,30.035803,-36.615187,90.0,top
R29,33.329805,-38.670187,180.0,top
R3,69.059803,-39.156782,270.0,top
R30,31.054803,-36.615186,270.0,top
R31,30.063803,-34.689186,270.0,top
R32,26.958802,-35.083187,90.0,top
R33,24.987803,-37.250186,90.0,top
R34,25.920803,-35.086187,90.0,top
R35,22.900803,-40.276186,0.0,top
R36,31.436303,-43.193185,180.0,top
R37,31.436303,-41.590185,180.0,top
R38,31.436303,-39.995185,180.0,top
R39,27.772803,-45.068186,270.0,top
R4,70.069804,-39.158783,270.0,top
R40,26.763803,-45.073185,270.0,top
R41,31.436303,-44.784186,0.0,top
R42,24.146803,-49.073187,270.0,top
R43,22.102803,-50.177061,90.0,top
R44,23.120803,-49.073187,90.0,top
R45,50.587803,-31.381187,0.0,top
R46,19.873803,-52.038062,180.0,top
R47,30.130302,-59.269062,270.0,top
R48,28.775802,-57.158187,180.0,top
R49,22.7378,-58.189061,90.0,top
R5,68.045804,-39.148783,90.0,top
R50,28.775803,-56.159187,0.0,top
R51,28.775803,-55.164187,0.0,top
R52,30.130301,-61.182062,270.0,top
R53,24.752803,-58.189062,270.0,top
R54,23.746803,-58.189061,270.0,top
R55,45.640803,-73.313937,270.0,top
R56,28.775802,-53.158187,180.0,top
R58,30.968803,-75.742936,270.0,top
R59,28.775801,-52.155187,180.0,top
R6,56.428802,-42.545187,315.0,top
R62,58.233514,-51.195506,180.0,top
R63,58.233514,-53.190506,180.0,top
R64,58.169802,-52.203187,180.0,top
R66,59.689514,-55.229506,90.0,top
R67,64.449869,-61.194688,270.0,top
R68,65.304803,-46.746186,270.0,top
R69,66.014525,-52.476524,180.0,top
R7,48.739674,-37.617535,225.0,top
R70,64.306801,-46.746187,90.0,top
R71,63.300803,-46.746186,90.0,top
R72,61.448869,-62.670688,180.0,top
R73,66.014525,-50.444524,0.0,top
R74,66.014524,-51.450506,0.0,top
R75,60.909803,-75.742937,270.0,top
R76,46.643803,-73.323937,270.0,top
R77,61.271514,-47.693506,270.0,top
R79,60.265514,-47.693506,270.0,top
R8,51.912461,-43.548041,135.0,top
R82,71.063801,-57.447687,90.0,top
R83,69.482802,-59.239688,0.0,top
R85,61.967803,-75.742937,270.0,top
R86,79.075803,-60.553188,90.0,top
R87,89.094804,-58.908187,90.0,top
